mark_scheme_id,question_id,subject_id,mark_scheme_text,structured_mark_scheme_text,question_type
,1.1,edexcel_business_studies,"The only correct answer is C – Spotting where there is a gap
in the market","
correct_answer:
  - C
total_marks:
  - 1",bs_mcq
,1.2,edexcel_business_studies,"The only correct answer is C – Customers will borrow more
money","correct_answer:
  - C
total_marks:
  - 1",bs_mcq
,1.3,edexcel_business_studies,"Award 1 mark for identification of an advantage, plus 2 further
marks for explaining this advantage up to a total of 3 marks.
The owners would have limited liability (1). This means that any
debts are the responsibility of the business (1). Therefore, the
personal possessions of the owners will not have to be sold to pay
the debts of the business (1).
The business can sell shares to raise finance (1). This is good
because the business may have extra funds for investment (1).
This may lead to a reduction in the chance of business failure (1).
Accept any other appropriate response. Answers that list more
than one advantage with no explanation will be awarded a
maximum of 1 mark.","marking_criteria:
  - Identification of an advantage
  - Explanation of the identified advantage

example_answers:
  - The owners would have limited liability (1)
  - This means that any debts are the responsibility of the business (1)
  - Therefore, the personal possessions of the owners will not have to be sold to pay the debts of the business (1)
  - The business can sell shares to raise finance (1)
  - This is good because the business may have extra funds for investment (1)
  - This may lead to a reduction in the chance of business failure (1)

marking_notes:
  - Accept any other appropriate response
  - Answers that list more than one advantage with no explanation will be awarded a maximum of 1 mark

total_marks:
  - 3",bs_explain
,1.4,edexcel_business_studies,"Award 1 mark for identification of a way, plus 2 further marks for
explaining this way up to a total of 3 marks.
The business could choose a cheaper location (1). This is because
the business can use e-commerce (1). As a result, the business
may not require a physical retail location (1).
The business will need to be in a location with good internet
connections (1). This is because a business may need the internet
to communicate with stakeholders (1). A location with a weak
signal could cause barriers to communication for the business (1).
Accept any other appropriate response. Answers that list more
than one way with no explanation will be awarded a maximum of
1 mark.","marking_criteria:
  - Identification of a way (1 mark)
  - Explanation of the way (up to 2 additional marks)
example_answers:
  - The business could choose a cheaper location (1)
  - This is because the business can use e-commerce (1)
  - As a result, the business may not require a physical retail location (1)
  - The business will need to be in a location with good internet connections (1)
  - This is because a business may need the internet to communicate with stakeholders (1)
  - A location with a weak signal could cause barriers to communication for the business (1)
marking_notes:
  - Accept any other appropriate response
  - Answers that list more than one way with no explanation will be awarded a maximum of 1 mark.
total_marks:
  - 3",bs_explain
,2.1,edexcel_business_studies,The only correct answers are A – Choice and C – Quality,"correct_answer:
  - A
  - C
total_marks:
  - 2
",bs_mcq
,2.2,edexcel_business_studies,"The only correct answers are B – Organising resources and
D – Taking risks","correct_answer:
  - B
  - D
total_marks:
  - 2
",bs_mcq
,2.3,edexcel_business_studies,"Substitution into correct formula:
£10 000 ÷ (£6.50 – £2.50)
= 2,500 units
Decrease = 4,000 – 2,500 (1)
Answer: 1,500 units (1)","Substitution into correct formula:
£10 000 ÷ (£6.50 – £2.50)
= 2,500 units
Decrease = 4,000 – 2,500 (1)
Answer: 1,500 units (1)",bs_calculate
,2.4,edexcel_business_studies,"Award 1 mark for identification of a way, plus 2 further marks for
explaining this way up to a total of 3 marks.
A small business could gain an advantage by charging lower prices
(1). This would mean customers are more likely to buy the
product because it is cheaper than other products (1). Therefore,
this would attract customers from its competitors as they want to
save money (1).
A small business could improve the quality of the product (1). This
would attract customers because they think they are getting a
better product (1). As a result, the business would gain a better
reputation than competitors (1).
Accept any other appropriate response. Answers that list more
than one way with no explanation will be awarded a maximum of
1 mark.","marking_criteria:
  - Identification of a way
  - Explanation of the way

example_answers:
  - A small business could gain an advantage by charging lower prices (1). This would mean customers are more likely to buy the product because it is cheaper than other products (1). Therefore, this would attract customers from its competitors as they want to save money (1).
  - A small business could improve the quality of the product (1). This would attract customers because they think they are getting a better product (1). As a result, the business would gain a better reputation than competitors (1).

marking_notes:
  - Accept any other appropriate response.
  - Answers that list more than one way with no explanation will be awarded a maximum of 1 mark.

total_marks:
  - 3",bs_explain
,2.5,edexcel_business_studies,"Award 1 mark for identification of an advantage, plus 2 further
marks for explaining this advantage up to a total of 3 marks.
A small business would not get sued for breaking the law (1). This
means the business would not have to face financial consequences
such as a fine (1). This will prevent the business from having a
negative image (1).
Employees will feel that the business is taking good care of them
(1). Therefore, the business will have a more motivated workforce
(1). This could lead to an increase in productivity (1).
Accept any other appropriate response. Answers that list more
than one advantage with no explanation will be awarded a
maximum of 1 mark","
marking_criteria:
  - Identification of an advantage
  - Explanation of the advantage

example_answers:
  - A small business would not get sued for breaking the law (1)
  - This means the business would not have to face financial consequences such as a fine (1)
  - This will prevent the business from having a negative image (1)
  - Employees will feel that the business is taking good care of them (1)
  - Therefore, the business will have a more motivated workforce (1)
  - This could lead to an increase in productivity (1)

marking_notes:
  - Accept any other appropriate response.
  - Answers that list more than one advantage with no explanation will be awarded a maximum of 1 mark.

total_marks:
  - 6",bs_explain
,3.1,edexcel_business_studies,The only correct answer is A – Locate in a convenient place,"
correct_answer:
  - A
total_marks:
  - 1",bs_mcq
,3.2,edexcel_business_studies,"Substitution into correct formula:
£5.20 x 7,200 (1)
Answer: £37 440 (1)","Substitution into correct formula:
£5.20 x 7,200 (1)
Answer: £37 440 (1)",bs_calculate
,3.3,edexcel_business_studies,"Award 1 mark for identification of a disadvantage, plus 2 further
marks for explaining this disadvantage, up to a total of 3 marks.
One disadvantage is that the employees will want to leave the
business (1). This means the business may have to find new
employees (1). This may increase the recruitment costs of the
business (1).
The employees may not be motivated (1). This means the
productivity of the employees will fall (1). Therefore, the business
may experience problems meeting customer orders (1).
Accept any other appropriate response. Answers that list more
than one disadvantage with no explanation will be awarded a
maximum of 1 mark.","marking_criteria:
  - Identification of a disadvantage: 1 mark
  - Explanation of the disadvantage: up to 2 further marks
example_answers:
  - One disadvantage is that the employees will want to leave the business (1). This means the business may have to find new employees (1). This may increase the recruitment costs of the business (1).
  - The employees may not be motivated (1). This means the productivity of the employees will fall (1). Therefore, the business may experience problems meeting customer orders (1).
marking_notes:
  - Accept any other appropriate response.
  - Answers that list more than one disadvantage with no explanation will be awarded a maximum of 1 mark.
total_marks:
  - 3",bs_explain
,3.4,edexcel_business_studies,"Award 1 mark for identification of an advantage, plus 2
further marks for explaining this advantage up to a total of 3
marks.
Retained profit is a cheap source of finance (1). This is because
interest is not paid on retained profit (1). Therefore, the business
would not experience an increase in costs (1).
Retained profit does not dilute the ownership of the business (1).
This is because the owner(s) keep full control of all decisions made
since no new shares are issued (1). This may lead to decisions
being made quicker in the business (1).
Accept any other appropriate response. Answers that list more
than one advantage with no explanation will be awarded a
maximum of 1 mark.","marking_criteria:
  - Identification of an advantage
  - Explaining the advantage

example_answers:
  - Retained profit is a cheap source of finance (1)
  - Interest is not paid on retained profit (1)
  - The business would not experience an increase in costs (1)
  - Retained profit does not dilute the ownership of the business (1)
  - The owner(s) keep full control of all decisions made since no new shares are issued (1)
  - This may lead to decisions being made quicker in the business (1)
  - Accept any other appropriate response (1)

marking_notes:
  - Answers that list more than one advantage with no explanation will be awarded a maximum of 1 mark

total_marks:
  - 3",bs_explain
